Game,Status,Platform,Emulator,IsArchipelagoTool
KeyWe,Unstable,PC,,false
Kindergarten 2,Stable,PC,,false
Kingdom Hearts,Official,PC,,false
Kingdom Hearts 2,Official,PC,,false
Kingdom Hearts 358/2 Days,Unstable,DS,melonDS,false
Kingdom Hearts Dream Drop Distance,Unstable,3DS,Citra,false
Kingdom Hearts: Birth by Sleep Final Mix,Stable,PSP,PPSSPP,false
Kingdom Hearts: Chain of Memories (GBA),Stable,GBA,BizHawk,false
Kingdom Hearts: RE Chain of Memories,Stable,PS2,PCSX2,false
Kingdom Two Crowns,Unstable,PC,,false
Kirby 64 - The Crystal Shards,Stable,N64,BizHawk,false
Kirby Air Ride,Unstable,GameCube,Dolphin,false
Kirby Super Star,Stable,SNES,BizHawk,false
Kirby's Dream Land 3,Official,SNES,BizHawk,false
K-On! After School Live!!,Stable,PSP,PPSSPP,false
Landstalker - The Treasures of King Nole,Official,Genesis,BizHawk,false
League of Legends,Stable,PC,,false
Left 4 Dead 2,Unstable,PC,,false
The Legend of Dragoon,Unstable,PS1,DuckStation,false
The Legend of Heroes: Trails in the Sky the 3rd,Unstable,PC,,false
The Legend of Zelda,Official,NES,BizHawk,false
Lego Batman: The Video Game,Unstable,PC,,false
Lego Star Wars: The Complete Saga,Stable,PC,,false
Lethal Company,Unstable,PC,,false
Library of Ruina,Unstable,PC,,false
Lies of P,Unstable,PC,,false
Lil Gator Game,Stable,PC,,false
Lingo,Official,PC,,false
Lingo 2,Stable,PC,,false
Little Witch Nobeta,Stable,PC,,false
Lobotomy Corporation,Unstable,PC,,false
Loonyland: Halloween Hill,In Review,PC,,false
Lufia II Ancient Cave,Official,SNES,BizHawk,false
Luigi's Mansion,Stable,GameCube,Dolphin,false
Lunacid,Stable,PC,,false
Mario is Missing!,Stable,SNES,BizHawk,false
Mario Kart 64,Unstable,N64,BizHawk,false
Mario Kart: Double Dash,Unstable,GameCube,Dolphin,false
Mario & Luigi Superstar Saga,Official,GBA,BizHawk,false
Mario Party Advance,Unstable,GBA,BizHawk,false
Mario Super Sluggers,Unstable,Wii,Dolphin,false
MediEvil (1998),Unstable,PS1,DuckStation,false
MediEvil 2,Unstable,PS1,DuckStation,false
Mega Man 1,Unstable,NES,BizHawk,false
Mega Man 2,Official,NES,BizHawk,false
Mega Man 3,In Review,NES,BizHawk,false
Mega Man Battle Network 6,Unstable,GBA,BizHawk,false
Mega Man X,APWorld Only,SNES,BizHawk,false
Mega Man X Command Mission,Unstable,PS2,PCSX2,false
Mega Man X2,APWorld Only,SNES,BizHawk,false
Mega Man X3,APWorld Only,SNES,BizHawk,false
Mega Man X4,Unstable,PS1,DuckStation,false
Mega Man Zero 3,Unstable,GBA,BizHawk,false
MegaMan Battle Network 3,Official,GBA,BizHawk,false
Mercenaries: Playground of Destruction,Unstable,PS2,PCSX2,false
Meritous,Official,PC,,false
The Messenger,Official,PC,,false
MetroCUBEvania,Stable,PC,,false
Metroid Fusion,Stable,GBA,BizHawk,false
Metroid Prime,In Review,GameCube,Dolphin,false
Metroid: Zero Mission,Stable,GBA,BizHawk,false
Mindustry,Unstable,PC,,false
Minecraft,Stable,PC,,false
Minecraft Dig,Stable,PC,,false
Minecraft Fabric,Unstable,PC,,false
Minishoot Adventures,Stable,PC,,false
Minit,Stable,PC,,false
