Game,Status,Platform,Emulator
Refunct,Stable,PC,
R.E.P.O,Unstable,PC,
Resident Evil 2 Remake,APWorld Only,PC,
Resident Evil 3 Remake,APWorld Only,PC,
Resident Evil 7,Unstable,PC,
Return of the Obra Dinn,Unstable,PC,
Reventure,Stable,PC,
Rift of the Necrodancer,Stable,PC,
Rift Wizard,Stable,PC,
Rimworld,Unstable,PC,
Risk of Rain,Unstable,PC,
Risk of Rain 2,Official,PC,
Risk of Rain Returns,Stable,PC,
Rogue Legacy,APWorld Only,PC,
Rusted Moss,Stable,PC,
Santa Needs YOU!,Broken on Main,Built-in,
Satisfactory,Merged,PC,
Saving Princess,Official,PC,
Schedule I,Unstable,PC,
Scooby-Doo! Night of 100 Frights,In Review,PS2,PCSX2
Sea of Thieves,Stable,PC,
Secret of Evermore,Official,SNES,BizHawk
Secret of Mana,Unstable,SNES,BizHawk
Seedling,Broken on Main,Browser,
Sentinels of the Multiverse,Stable,PC,
The Settlers: Heritage of Kings,Unstable,PC,
Severed Soul,Unstable,PC,
Shadow the Hedgehog,Stable,GameCube,Dolphin
Shadowgate 64: Trials of the Four Towers,Unstable,N64,BizHawk
shapez,Official,PC,
shapez 2,Unstable,PC,
Shining in the Darkness,Unstable,Genesis,BizHawk
Shivers,Official,PC,
Shovel Knight Pocket Dungeon,Unstable,PC,
Signalis,Unstable,PC,
Silver Daze,Unstable,PC,
Simon Tatham's Portable Puzzle Collection,Stable,PC,
The Simpsons: Hit & Run,Stable,PC,
The Sims 4,Stable,PC,
Slay the Spire,APWorld Only,PC,
Slime Rancher,Unstable,PC,
Sly 2: Band of Thieves,Stable,PS2,PCSX2
Sly Cooper and the Thievius Raccoonus,Stable,PS2,PCSX2
Smushi Come Home,Unstable,PC,
SMZ3,Official,SNES,BizHawk
Sonic Advance 2,Unstable,GBA,BizHawk
Sonic Adventure 2 Battle,Official,PC,
Sonic Adventure DX,Stable,PC,
Sonic Battle,Unstable,GBA,BizHawk
Sonic Frontiers,Unstable,PC,
Sonic the Hedgehog,Stable,Genesis,BizHawk
Sonic Heroes,Stable,PC,
Sonic Riders,Stable,PC,
Sonic Robo Blast 2,Stable,PC,
Sonic Rush,Stable,DS,melonDS
SoulBlazer,Stable,SNES,BizHawk
Space Engineers,Unstable,PC,
Spelunker,Stable,NES,BizHawk
Spelunky 2,Unstable,PC,
Spinball,Stable,Genesis,BizHawk
Spirit Valley,Unstable,PC,
Spongebob Squarepants: Battle for Bikini Bottom,APWorld Only,PC,
Spyro 2: Ripto's Rage,Stable,PS1,DuckStation
Spyro 3: Year of the Dragon,Stable,PS1,DuckStation
Spyro the Dragon,Unstable,PS1,DuckStation
Stacklands,Stable,PC,
Star Fox 64,Stable,N64,BizHawk
Star Wars: Episode 1 Racer,Unstable,N64,BizHawk
Starcraft 2,Official,PC,
Stardew Valley,Official,PC,
Stick Ranger,In Review,Browser,
Streets of Rage,Unstable,Genesis,BizHawk
Subnautica,Official,PC,
Super Adventure Island II,Unstable,SNES,BizHawk
Super Cat Planet,Stable,PC,
Super Chipflake Ü: Quest for the Uncooked Schnitzel,Unstable,PC,
Super Junkoid,Stable,SNES,BizHawk
Super Mario 64,Official,N64,BizHawk
Super Mario Land 2: The Golden Coins,Official,GB,BizHawk
Super Mario RPG,Unstable,SNES,BizHawk
Super Mario Sunshine,Unstable,GameCube,Dolphin
Super Mario Sunshine Arcade 2,Unstable,PC,
Super Mario World,Official,SNES,BizHawk
Super Mario World: Spicy Mycena Waffles,APWorld Only,SNES,BizHawk
Super Metroid,Official,SNES,BizHawk
Super Metroid Map Rando,Unstable,SNES,BizHawk
Super Smash Bros. Melee,Stable,GameCube,Dolphin
Supraland,Unstable,PC,
System Shock 2,Stable,PC,
TCG Card Shop Simulator,Stable,PC,
Terraria,Official,PC,
Tetris Attack,Stable,SNES,BizHawk
Tevi,Stable,PC,
Timespinner,Official,PC,
Toejam & Earl,Stable,Genesis,BizHawk
TOEM: A Photo Adventure,Stable,PC,
Total War: Warhammer III,Unstable,PC,
Total War: Warhammer III Alternative,Unstable,PC,
Totally Accurate Battle Simulator (TABS),Unstable,PC,
Touhou Eiyashou ~ Imperishable Night,Unstable,PC,
Touhou Koumakyou: The Embodiment of Scarlet Devil,APWorld Only,PC,
Touhou Youyoumu ~ Perfect Cherry Blossom,Stable,PC,
Trackmania,In Review,PC,
TUNIC,Official,PC,
Turnip Boy Commits Tax Evasion,Stable,PC,
Twisty Cube,Unstable,Built-in,
Ty The Tasmanian Tiger 2,Unstable,PC,
Ty the Tasmanian Tiger 3,Unstable,PC,
Ty The Tasmanian Tiger HD Remaster (PC),Stable,PC,
Tyrian / Tyrian 2000,Stable,PC,
UFO 50,APWorld Only,PC,
ULTRAKILL,Stable,PC,
UNBEATABLE,Unstable,PC,
Undertale,Official,PC,
Unfair Flips,Stable,Built-in,
Untitled Goose Game,Unstable,PC,
Vacation Simulator,Unstable,PC (VR),
Valheim,Unstable,PC,
Vampire Survivors,Stable,PC,
Vespadian,Unstable,PC,
Vintage Story,Unstable,PC,
Void Sols,Index Only,PC,
Void Stranger,Unstable,PC,
Voltorb Flip (from Pokémon HG & SS),Unstable,Built-in,
VVVVVV,Official,PC,
Wargroove,Official,PC,
Wargroove 2,In Review,PC,
